MPRN,Meter Serial Number,Read Value,Read Type,Read Date & Time
10003251046,33964936,0.281000,Active Import Interval (kW),15-01-2023 12:30
10003251046,33964936,0.329000,Active Import Interval (kW),15-01-2023 12:00
10003251046,33964936,0.572000,Active Import Interval (kW),15-01-2023 11:30
10003251046,33964936,0.444000,Active Import Interval (kW),15-01-2023 11:00
10003251046,33964936,0.284000,Active Import Interval (kW),15-01-2023 10:30
10003251046,33964936,0.284000,Active Import Interval (kW),15-01-2023 10:00
10003251046,33964936,0.427000,Active Import Interval (kW),15-01-2023 09:30
10003251046,33964936,0.358000,Active Import Interval (kW),15-01-2023 09:00
10003251046,33964936,0.343000,Active Import Interval (kW),15-01-2023 08:30
10003251046,33964936,0.362000,Active Import Interval (kW),15-01-2023 08:00
10003251046,33964936,0.366000,Active Import Interval (kW),15-01-2023 07:30
10003251046,33964936,0.310000,Active Import Interval (kW),15-01-2023 07:00
10003251046,33964936,0.385000,Active Import Interval (kW),15-01-2023 06:30
10003251046,33964936,0.442000,Active Import Interval (kW),15-01-2023 06:00
10003251046,33964936,0.360000,Active Import Interval (kW),15-01-2023 05:30
10003251046,33964936,0.374000,Active Import Interval (kW),15-01-2023 05:00
10003251046,33964936,0.368000,Active Import Interval (kW),15-01-2023 04:30
10003251046,33964936,0.324000,Active Import Interval (kW),15-01-2023 04:00
10003251046,33964936,0.489000,Active Import Interval (kW),15-01-2023 03:30
10003251046,33964936,0.677000,Active Import Interval (kW),15-01-2023 03:00
10003251046,33964936,0.511000,Active Import Interval (kW),15-01-2023 02:30
10003251046,33964936,0.480000,Active Import Interval (kW),15-01-2023 02:00
10003251046,33964936,0.491000,Active Import Interval (kW),15-01-2023 01:30
10003251046,33964936,0.450000,Active Import Interval (kW),15-01-2023 01:00
10003251046,33964936,0.573000,Active Import Interval (kW),15-01-2023 00:30
10003251046,33964936,0.557000,Active Import Interval (kW),15-01-2023 00:00
10003251046,33964936,0.921000,Active Import Interval (kW),14-01-2023 23:30
10003251046,33964936,0.618000,Active Import Interval (kW),14-01-2023 23:00
10003251046,33964936,0.651000,Active Import Interval (kW),14-01-2023 22:30
10003251046,33964936,1.658000,Active Import Interval (kW),14-01-2023 22:00
10003251046,33964936,0.941000,Active Import Interval (kW),14-01-2023 21:30
10003251046,33964936,2.201000,Active Import Interval (kW),14-01-2023 21:00
10003251046,33964936,2.210000,Active Import Interval (kW),14-01-2023 20:30
10003251046,33964936,3.022000,Active Import Interval (kW),14-01-2023 20:00
10003251046,33964936,1.951000,Active Import Interval (kW),14-01-2023 19:30
10003251046,33964936,2.668000,Active Import Interval (kW),14-01-2023 19:00
10003251046,33964936,2.030000,Active Import Interval (kW),14-01-2023 18:30
10003251046,33964936,1.264000,Active Import Interval (kW),14-01-2023 18:00
10003251046,33964936,1.427000,Active Import Interval (kW),14-01-2023 17:30
10003251046,33964936,1.457000,Active Import Interval (kW),14-01-2023 17:00
10003251046,33964936,1.479000,Active Import Interval (kW),14-01-2023 16:30
10003251046,33964936,1.121000,Active Import Interval (kW),14-01-2023 16:00
10003251046,33964936,1.112000,Active Import Interval (kW),14-01-2023 15:30
10003251046,33964936,1.165000,Active Import Interval (kW),14-01-2023 15:00
10003251046,33964936,0.870000,Active Import Interval (kW),14-01-2023 14:30
10003251046,33964936,0.377000,Active Import Interval (kW),14-01-2023 14:00
10003251046,33964936,0.348000,Active Import Interval (kW),14-01-2023 13:30
10003251046,33964936,0.533000,Active Import Interval (kW),14-01-2023 13:00
10003251046,33964936,0.292000,Active Import Interval (kW),14-01-2023 12:30
10003251046,33964936,0.596000,Active Import Interval (kW),14-01-2023 12:00
10003251046,33964936,0.619000,Active Import Interval (kW),14-01-2023 11:30
10003251046,33964936,0.396000,Active Import Interval (kW),14-01-2023 11:00
10003251046,33964936,0.377000,Active Import Interval (kW),14-01-2023 10:30
10003251046,33964936,0.302000,Active Import Interval (kW),14-01-2023 10:00
10003251046,33964936,0.360000,Active Import Interval (kW),14-01-2023 09:30
10003251046,33964936,0.294000,Active Import Interval (kW),14-01-2023 09:00
10003251046,33964936,0.410000,Active Import Interval (kW),14-01-2023 08:30
10003251046,33964936,0.334000,Active Import Interval (kW),14-01-2023 08:00
10003251046,33964936,0.405000,Active Import Interval (kW),14-01-2023 07:30
10003251046,33964936,0.321000,Active Import Interval (kW),14-01-2023 07:00
10003251046,33964936,0.336000,Active Import Interval (kW),14-01-2023 06:30
10003251046,33964936,0.351000,Active Import Interval (kW),14-01-2023 06:00
10003251046,33964936,0.385000,Active Import Interval (kW),14-01-2023 05:30
10003251046,33964936,0.400000,Active Import Interval (kW),14-01-2023 05:00
10003251046,33964936,0.389000,Active Import Interval (kW),14-01-2023 04:30
10003251046,33964936,0.371000,Active Import Interval (kW),14-01-2023 04:00
10003251046,33964936,0.332000,Active Import Interval (kW),14-01-2023 03:30
10003251046,33964936,0.338000,Active Import Interval (kW),14-01-2023 03:00
10003251046,33964936,0.416000,Active Import Interval (kW),14-01-2023 02:30
10003251046,33964936,0.380000,Active Import Interval (kW),14-01-2023 02:00
10003251046,33964936,0.525000,Active Import Interval (kW),14-01-2023 01:30
10003251046,33964936,0.770000,Active Import Interval (kW),14-01-2023 01:00
10003251046,33964936,1.726000,Active Import Interval (kW),14-01-2023 00:30
10003251046,33964936,1.333000,Active Import Interval (kW),14-01-2023 00:00
10003251046,33964936,2.313000,Active Import Interval (kW),13-01-2023 23:30
10003251046,33964936,1.203000,Active Import Interval (kW),13-01-2023 23:00
10003251046,33964936,0.668000,Active Import Interval (kW),13-01-2023 22:30
10003251046,33964936,3.172000,Active Import Interval (kW),13-01-2023 22:00
10003251046,33964936,4.272000,Active Import Interval (kW),13-01-2023 21:30
10003251046,33964936,2.473000,Active Import Interval (kW),13-01-2023 21:00
10003251046,33964936,1.310000,Active Import Interval (kW),13-01-2023 20:30
10003251046,33964936,1.454000,Active Import Interval (kW),13-01-2023 20:00
10003251046,33964936,1.337000,Active Import Interval (kW),13-01-2023 19:30
10003251046,33964936,2.661000,Active Import Interval (kW),13-01-2023 19:00
10003251046,33964936,1.458000,Active Import Interval (kW),13-01-2023 18:30
10003251046,33964936,1.374000,Active Import Interval (kW),13-01-2023 18:00
10003251046,33964936,1.362000,Active Import Interval (kW),13-01-2023 17:30
10003251046,33964936,1.267000,Active Import Interval (kW),13-01-2023 17:00
10003251046,33964936,1.541000,Active Import Interval (kW),13-01-2023 16:30
10003251046,33964936,1.183000,Active Import Interval (kW),13-01-2023 16:00
10003251046,33964936,1.102000,Active Import Interval (kW),13-01-2023 15:30
10003251046,33964936,1.202000,Active Import Interval (kW),13-01-2023 15:00
10003251046,33964936,0.884000,Active Import Interval (kW),13-01-2023 14:30
10003251046,33964936,0.432000,Active Import Interval (kW),13-01-2023 14:00
10003251046,33964936,0.401000,Active Import Interval (kW),13-01-2023 13:30
10003251046,33964936,0.907000,Active Import Interval (kW),13-01-2023 13:00
10003251046,33964936,0.498000,Active Import Interval (kW),13-01-2023 12:30
10003251046,33964936,0.386000,Active Import Interval (kW),13-01-2023 12:00
10003251046,33964936,0.331000,Active Import Interval (kW),13-01-2023 11:30
10003251046,33964936,0.375000,Active Import Interval (kW),13-01-2023 11:00
10003251046,33964936,0.440000,Active Import Interval (kW),13-01-2023 10:30
10003251046,33964936,0.532000,Active Import Interval (kW),13-01-2023 10:00
10003251046,33964936,0.596000,Active Import Interval (kW),13-01-2023 09:30
10003251046,33964936,0.583000,Active Import Interval (kW),13-01-2023 09:00
10003251046,33964936,0.411000,Active Import Interval (kW),13-01-2023 08:30
10003251046,33964936,0.349000,Active Import Interval (kW),13-01-2023 08:00
10003251046,33964936,0.366000,Active Import Interval (kW),13-01-2023 07:30
10003251046,33964936,0.347000,Active Import Interval (kW),13-01-2023 07:00
10003251046,33964936,0.292000,Active Import Interval (kW),13-01-2023 06:30
10003251046,33964936,0.415000,Active Import Interval (kW),13-01-2023 06:00
10003251046,33964936,0.348000,Active Import Interval (kW),13-01-2023 05:30
10003251046,33964936,0.422000,Active Import Interval (kW),13-01-2023 05:00
10003251046,33964936,0.347000,Active Import Interval (kW),13-01-2023 04:30
10003251046,33964936,0.359000,Active Import Interval (kW),13-01-2023 04:00
10003251046,33964936,0.341000,Active Import Interval (kW),13-01-2023 03:30
10003251046,33964936,0.402000,Active Import Interval (kW),13-01-2023 03:00
10003251046,33964936,1.094000,Active Import Interval (kW),13-01-2023 02:30
10003251046,33964936,0.766000,Active Import Interval (kW),13-01-2023 02:00
10003251046,33964936,0.498000,Active Import Interval (kW),13-01-2023 01:30
10003251046,33964936,0.944000,Active Import Interval (kW),13-01-2023 01:00
10003251046,33964936,1.089000,Active Import Interval (kW),13-01-2023 00:30
10003251046,33964936,0.466000,Active Import Interval (kW),13-01-2023 00:00
10003251046,33964936,0.533000,Active Import Interval (kW),12-01-2023 23:30
10003251046,33964936,0.551000,Active Import Interval (kW),12-01-2023 23:00
10003251046,33964936,2.905000,Active Import Interval (kW),12-01-2023 22:30
10003251046,33964936,0.682000,Active Import Interval (kW),12-01-2023 22:00
10003251046,33964936,0.747000,Active Import Interval (kW),12-01-2023 21:30
10003251046,33964936,0.966000,Active Import Interval (kW),12-01-2023 21:00
10003251046,33964936,1.145000,Active Import Interval (kW),12-01-2023 20:30
10003251046,33964936,1.411000,Active Import Interval (kW),12-01-2023 20:00
10003251046,33964936,1.399000,Active Import Interval (kW),12-01-2023 19:30
10003251046,33964936,1.468000,Active Import Interval (kW),12-01-2023 19:00
10003251046,33964936,3.628000,Active Import Interval (kW),12-01-2023 18:30
10003251046,33964936,2.653000,Active Import Interval (kW),12-01-2023 18:00
10003251046,33964936,2.998000,Active Import Interval (kW),12-01-2023 17:30
10003251046,33964936,2.810000,Active Import Interval (kW),12-01-2023 17:00
10003251046,33964936,2.975000,Active Import Interval (kW),12-01-2023 16:30
10003251046,33964936,2.252000,Active Import Interval (kW),12-01-2023 16:00
10003251046,33964936,1.287000,Active Import Interval (kW),12-01-2023 15:30
10003251046,33964936,4.318000,Active Import Interval (kW),12-01-2023 15:00
10003251046,33964936,2.033000,Active Import Interval (kW),12-01-2023 14:30
10003251046,33964936,0.463000,Active Import Interval (kW),12-01-2023 14:00
10003251046,33964936,0.430000,Active Import Interval (kW),12-01-2023 13:30
10003251046,33964936,0.483000,Active Import Interval (kW),12-01-2023 13:00
10003251046,33964936,0.379000,Active Import Interval (kW),12-01-2023 12:30
10003251046,33964936,0.328000,Active Import Interval (kW),12-01-2023 12:00
10003251046,33964936,0.406000,Active Import Interval (kW),12-01-2023 11:30
10003251046,33964936,0.478000,Active Import Interval (kW),12-01-2023 11:00
10003251046,33964936,0.408000,Active Import Interval (kW),12-01-2023 10:30
10003251046,33964936,0.638000,Active Import Interval (kW),12-01-2023 10:00
10003251046,33964936,1.280000,Active Import Interval (kW),12-01-2023 09:30
10003251046,33964936,0.343000,Active Import Interval (kW),12-01-2023 09:00
10003251046,33964936,0.378000,Active Import Interval (kW),12-01-2023 08:30
10003251046,33964936,0.332000,Active Import Interval (kW),12-01-2023 08:00
10003251046,33964936,0.414000,Active Import Interval (kW),12-01-2023 07:30
10003251046,33964936,0.288000,Active Import Interval (kW),12-01-2023 07:00
10003251046,33964936,0.372000,Active Import Interval (kW),12-01-2023 06:30
10003251046,33964936,0.342000,Active Import Interval (kW),12-01-2023 06:00
10003251046,33964936,0.403000,Active Import Interval (kW),12-01-2023 05:30
10003251046,33964936,0.364000,Active Import Interval (kW),12-01-2023 05:00
10003251046,33964936,0.374000,Active Import Interval (kW),12-01-2023 04:30
10003251046,33964936,0.340000,Active Import Interval (kW),12-01-2023 04:00
10003251046,33964936,0.323000,Active Import Interval (kW),12-01-2023 03:30
10003251046,33964936,0.397000,Active Import Interval (kW),12-01-2023 03:00
10003251046,33964936,0.393000,Active Import Interval (kW),12-01-2023 02:30
10003251046,33964936,0.417000,Active Import Interval (kW),12-01-2023 02:00
10003251046,33964936,0.489000,Active Import Interval (kW),12-01-2023 01:30
10003251046,33964936,0.540000,Active Import Interval (kW),12-01-2023 01:00
10003251046,33964936,0.597000,Active Import Interval (kW),12-01-2023 00:30
10003251046,33964936,0.602000,Active Import Interval (kW),12-01-2023 00:00
10003251046,33964936,0.910000,Active Import Interval (kW),11-01-2023 23:30
10003251046,33964936,0.606000,Active Import Interval (kW),11-01-2023 23:00
10003251046,33964936,0.971000,Active Import Interval (kW),11-01-2023 22:30
10003251046,33964936,0.858000,Active Import Interval (kW),11-01-2023 22:00
10003251046,33964936,0.675000,Active Import Interval (kW),11-01-2023 21:30
10003251046,33964936,0.621000,Active Import Interval (kW),11-01-2023 21:00
10003251046,33964936,1.337000,Active Import Interval (kW),11-01-2023 20:30
10003251046,33964936,1.634000,Active Import Interval (kW),11-01-2023 20:00
10003251046,33964936,1.769000,Active Import Interval (kW),11-01-2023 19:30
10003251046,33964936,3.916000,Active Import Interval (kW),11-01-2023 19:00
10003251046,33964936,0.537000,Active Import Interval (kW),11-01-2023 18:30
10003251046,33964936,1.157000,Active Import Interval (kW),11-01-2023 18:00
10003251046,33964936,2.890000,Active Import Interval (kW),11-01-2023 17:30
10003251046,33964936,2.256000,Active Import Interval (kW),11-01-2023 17:00
10003251046,33964936,2.424000,Active Import Interval (kW),11-01-2023 16:30
10003251046,33964936,1.178000,Active Import Interval (kW),11-01-2023 16:00
10003251046,33964936,1.243000,Active Import Interval (kW),11-01-2023 15:30
10003251046,33964936,1.829000,Active Import Interval (kW),11-01-2023 15:00
10003251046,33964936,1.366000,Active Import Interval (kW),11-01-2023 14:30
10003251046,33964936,1.463000,Active Import Interval (kW),11-01-2023 14:00
10003251046,33964936,2.058000,Active Import Interval (kW),11-01-2023 13:30
10003251046,33964936,3.063000,Active Import Interval (kW),11-01-2023 13:00
10003251046,33964936,2.580000,Active Import Interval (kW),11-01-2023 12:30
10003251046,33964936,2.234000,Active Import Interval (kW),11-01-2023 12:00
10003251046,33964936,2.629000,Active Import Interval (kW),11-01-2023 11:30
10003251046,33964936,1.605000,Active Import Interval (kW),11-01-2023 11:00
10003251046,33964936,1.346000,Active Import Interval (kW),11-01-2023 10:30
10003251046,33964936,0.442000,Active Import Interval (kW),11-01-2023 10:00
10003251046,33964936,1.134000,Active Import Interval (kW),11-01-2023 09:30
10003251046,33964936,0.316000,Active Import Interval (kW),11-01-2023 09:00
10003251046,33964936,0.503000,Active Import Interval (kW),11-01-2023 08:30
10003251046,33964936,0.385000,Active Import Interval (kW),11-01-2023 08:00
10003251046,33964936,0.318000,Active Import Interval (kW),11-01-2023 07:30
10003251046,33964936,0.358000,Active Import Interval (kW),11-01-2023 07:00
10003251046,33964936,0.297000,Active Import Interval (kW),11-01-2023 06:30
10003251046,33964936,0.320000,Active Import Interval (kW),11-01-2023 06:00
10003251046,33964936,0.365000,Active Import Interval (kW),11-01-2023 05:30
10003251046,33964936,0.401000,Active Import Interval (kW),11-01-2023 05:00
10003251046,33964936,0.421000,Active Import Interval (kW),11-01-2023 04:30
10003251046,33964936,0.475000,Active Import Interval (kW),11-01-2023 04:00
10003251046,33964936,0.415000,Active Import Interval (kW),11-01-2023 03:30
10003251046,33964936,0.485000,Active Import Interval (kW),11-01-2023 03:00
10003251046,33964936,0.453000,Active Import Interval (kW),11-01-2023 02:30
10003251046,33964936,0.524000,Active Import Interval (kW),11-01-2023 02:00
10003251046,33964936,0.638000,Active Import Interval (kW),11-01-2023 01:30
10003251046,33964936,0.555000,Active Import Interval (kW),11-01-2023 01:00
10003251046,33964936,0.561000,Active Import Interval (kW),11-01-2023 00:30
10003251046,33964936,0.495000,Active Import Interval (kW),11-01-2023 00:00
10003251046,33964936,0.632000,Active Import Interval (kW),10-01-2023 23:30
10003251046,33964936,0.626000,Active Import Interval (kW),10-01-2023 23:00
10003251046,33964936,0.745000,Active Import Interval (kW),10-01-2023 22:30
10003251046,33964936,1.017000,Active Import Interval (kW),10-01-2023 22:00
10003251046,33964936,2.846000,Active Import Interval (kW),10-01-2023 21:30
10003251046,33964936,0.844000,Active Import Interval (kW),10-01-2023 21:00
10003251046,33964936,0.638000,Active Import Interval (kW),10-01-2023 20:30
10003251046,33964936,1.021000,Active Import Interval (kW),10-01-2023 20:00
10003251046,33964936,1.018000,Active Import Interval (kW),10-01-2023 19:30
10003251046,33964936,1.388000,Active Import Interval (kW),10-01-2023 19:00
10003251046,33964936,0.746000,Active Import Interval (kW),10-01-2023 18:30
10003251046,33964936,2.344000,Active Import Interval (kW),10-01-2023 18:00
10003251046,33964936,2.921000,Active Import Interval (kW),10-01-2023 17:30
10003251046,33964936,2.068000,Active Import Interval (kW),10-01-2023 17:00
10003251046,33964936,1.856000,Active Import Interval (kW),10-01-2023 16:30
10003251046,33964936,1.721000,Active Import Interval (kW),10-01-2023 16:00
10003251046,33964936,1.354000,Active Import Interval (kW),10-01-2023 15:30
10003251046,33964936,1.601000,Active Import Interval (kW),10-01-2023 15:00
10003251046,33964936,1.857000,Active Import Interval (kW),10-01-2023 14:30
10003251046,33964936,2.426000,Active Import Interval (kW),10-01-2023 14:00
10003251046,33964936,4.486000,Active Import Interval (kW),10-01-2023 13:30
10003251046,33964936,2.870000,Active Import Interval (kW),10-01-2023 13:00
10003251046,33964936,1.086000,Active Import Interval (kW),10-01-2023 12:30
10003251046,33964936,1.213000,Active Import Interval (kW),10-01-2023 12:00
10003251046,33964936,0.391000,Active Import Interval (kW),10-01-2023 11:30
10003251046,33964936,0.285000,Active Import Interval (kW),10-01-2023 11:00
10003251046,33964936,0.403000,Active Import Interval (kW),10-01-2023 10:30
10003251046,33964936,0.411000,Active Import Interval (kW),10-01-2023 10:00
10003251046,33964936,0.538000,Active Import Interval (kW),10-01-2023 09:30
10003251046,33964936,0.377000,Active Import Interval (kW),10-01-2023 09:00
10003251046,33964936,0.320000,Active Import Interval (kW),10-01-2023 08:30
10003251046,33964936,0.377000,Active Import Interval (kW),10-01-2023 08:00
10003251046,33964936,0.337000,Active Import Interval (kW),10-01-2023 07:30
10003251046,33964936,0.417000,Active Import Interval (kW),10-01-2023 07:00
10003251046,33964936,0.319000,Active Import Interval (kW),10-01-2023 06:30
10003251046,33964936,0.298000,Active Import Interval (kW),10-01-2023 06:00
10003251046,33964936,0.398000,Active Import Interval (kW),10-01-2023 05:30
10003251046,33964936,0.292000,Active Import Interval (kW),10-01-2023 05:00
10003251046,33964936,0.321000,Active Import Interval (kW),10-01-2023 04:30
10003251046,33964936,0.451000,Active Import Interval (kW),10-01-2023 04:00
10003251046,33964936,0.360000,Active Import Interval (kW),10-01-2023 03:30
10003251046,33964936,0.356000,Active Import Interval (kW),10-01-2023 03:00
